symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Dầu khí,HOSE,19.35,18316.0,16.26,0.67,4.13,0.45,-5.72,38.46,True,True,52.31,0.73,45.54,112109802000.0,-28.24,70.86,60.3,11.5,67.5,67.5,55.1
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Dầu khí,HNX,33.3,19536.0,9.35,1.13,12.12,0.91,-0.1,21.78,True,True,54.55,0.73,47.29,119604803409.0,-26.81,51.58,62.5,52.2,75.3,69.3,68.1
PVT,Tổng công ty Cổ phần Vận tải Dầu khí,Dầu khí,HOSE,23.05,10221.0,10.43,1.25,11.97,12.44,16.57,39.7,True,True,75.22,0.63,44.24,124079438500.0,-17.41,52.74,53.6,50.4,93.9,70.2,70.9
REE,Công ty Cổ phần Cơ điện lạnh,Điện/Nước,HOSE,46.7,35316.0,10.0,1.21,12.08,-8.79,-20.32,-18.92,True,False,60.0,0.45,23.34,14850133750.0,-25.1,6.5,55.8,51.3,39.8,33.3,42.9
SAB,Tổng CTCP Bia - Rượu - Nước giải khát Sài Gòn,Thực phẩm đồ uống,HOSE,43.85,58292.0,12.71,2.66,20.92,-2.76,10.02,2.23,False,False,32.41,0.54,28.79,26833595250.0,-12.72,11.06,32.1,85.8,78.9,39.5,57.4
SBT,Công ty cổ phần Thành Thành Công - Biên Hòa,Thực phẩm đồ uống,HOSE,22.7,18672.0,24.95,1.81,7.25,5.09,16.81,-0.36,True,True,48.48,0.22,19.35,28948436000.0,-10.55,16.81,22.4,24.8,90.5,43.0,50.1
SCS,Công ty cổ phần Dịch vụ Hàng hóa Sài Gòn,Khác,HOSE,44.15,5143.0,5.58,2.68,48.06,-5.99,-10.84,-20.44,False,False,46.32,0.35,18.85,4156031750.0,-21.21,3.64,53.1,100.0,53.3,17.5,55.0
SHB,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,Ngân hàng,HOSE,11.6,76807.0,4.46,0.72,16.17,-15.33,-21.01,-35.33,False,False,42.5,0.77,26.79,551630209500.0,-35.33,3.57,87.4,70.8,28.9,96.5,64.5
SHS,Công ty Cổ phần Chứng Khoán Sài Gòn Hà Nội,Chứng khoán,HNX,14.1,16280.0,9.4,1.0,10.62,-26.18,-11.88,-46.59,False,False,25.0,1.37,47.04,144036814010.0,-48.54,0.71,64.4,45.1,30.0,76.3,48.6
SJS,Công ty Cổ phần SJ Group,Khác,HOSE,56.0,15766.0,56.0,5.1,9.12,17.15,13.82,-28.3,True,True,64.95,0.54,30.74,1802958000.0,-29.02,18.9,4.4,35.4,92.5,9.6,42.2
SSB,Ngân hàng Thương mại cổ phần Đông Nam Á,Ngân hàng,HOSE,22.45,47938.0,11.57,1.58,13.66,50.17,60.11,35.29,True,True,76.99,0.44,27.53,71031229000.0,-6.85,66.0,44.9,58.4,99.5,57.0,69.7
SSI,Công ty cổ phần Chứng khoán SSI,Chứng khoán,HOSE,20.9,72117.0,12.22,1.32,10.77,-3.87,-2.98,-29.24,True,False,43.24,1.19,36.05,473402996750.0,-30.75,18.85,46.7,46.0,67.0,94.7,58.3
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng,HOSE,76.7,122350.0,24.35,2.41,9.92,7.72,20.98,36.72,True,True,60.67,0.75,38.09,260425674500.0,-1.92,66.74,20.0,38.9,93.9,88.6,62.0
SZC,Công ty cổ phần Sonadezi Châu Đức,BĐS KCN,HOSE,17.7,5238.0,9.22,0.99,10.79,-18.87,-35.77,-46.76,False,False,29.21,0.84,34.05,7002793005.0,-49.43,8.8,66.7,46.9,13.2,20.2,34.5
TCB,Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank),Ngân hàng,HOSE,32.25,231720.0,9.01,1.34,14.89,4.37,10.31,-14.1,True,False,37.24,1.06,31.65,490834602500.0,-20.27,14.73,56.3,63.7,85.1,95.6,70.8
TCH,Công ty cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,BĐS dân dụng,HOSE,11.7,15551.0,13.6,0.58,4.29,-13.63,-13.63,-37.87,True,False,36.21,1.2,45.24,71290762275.0,-47.73,17.0,67.9,12.4,39.5,57.9,41.2
TNH,Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên,Khác,HOSE,6.62,1707.0,,0.64,-5.44,-26.03,-36.04,-52.86,False,False,0.0,0.36,23.59,999927250.0,-53.71,0.0,69.0,1.8,6.7,5.3,19.7
